t,P
1,0.5
2,0.2814790492034081
3,0.17849801920037373
4,0.126719122245789
5,0.09909139945652903
6,0.08349964992780398
7,0.0742259499294731
8,0.06844074112896988
9,0.0646782821637529
10,0.06214400429313064
11,0.06038733135778515
12,0.05914135719522414
13,0.058241370835994885
14,0.057581889096830596
15,0.057093126466841
16,0.05672761315001302
17,0.05645229771236168
18,0.05624371931998925
19,0.05608495849991592
20,0.055963653513911006
21,0.05587067574930877
22,0.05579922477612667
23,0.055744197834910754
24,0.0557017430820235
25,0.05566893847495477
26,0.055643558144354094
27,0.055623900659749044
28,0.05560866168763875
29,0.05559683886802834
30,0.05558766031280757
31,0.05558053057479215
32,0.05557498963491313
33,0.05557068165202254
34,0.05556733107408345
35,0.05556472432616639
36,0.0555626957402514
37,0.055561116722491054
38,0.05555988739865395
39,0.05555893016131957
40,0.05555818467962551
41,0.05555760403588374
42,0.05555715173181064
43,0.055556799366764595
44,0.055556524835899394
45,0.055556310930973095
46,0.055556144253271364
47,0.055556014368646434
48,0.0555559131504941
49,0.05555583426869727
50,0.055555772791992544
51,0.05555572487850999
52,0.05555568753488151
53,0.05555565842869001
54,0.05555563574242392
55,0.05555561805973595
56,0.05555560427684977
57,0.055555593533547
58,0.055555585159402204
59,0.055555578631893386
60,0.05555557354376276
61,0.05555556957758364
62,0.05555556648594118
63,0.05555556407598758
64,0.05555556219740513
65,0.05555556073302534
66,0.055555559591517686
67,0.05555555870169118
68,0.05555555800805282
69,0.05555555746734591
70,0.055555557045851627
71,0.05555555671728588
72,0.05555555646115995
73,0.05555555626150252
74,0.05555555610586371
75,0.05555555598453859
76,0.055555555889961895
77,0.05555555581623642
78,0.055555555758765
79,0.055555555713964186
80,0.05555555567904048
81,0.055555555651816274
82,0.0555555556305941
83,0.055555555614050706
84,0.05555555560115456
85,0.055555555591101556
86,0.05555555558326491
87,0.055555555577155954
88,0.055555555572393826
89,0.05555555556868159
90,0.055555555565787756
91,0.055555555563531915
92,0.0555555555617734
93,0.05555555556040258
94,0.05555555555933399
95,0.055555555558500974
96,0.055555555557851605
97,0.05555555555734543
98,0.05555555555695081
99,0.0555555555566432
100,0.05555555555640342
101,0.05555555555621648
102,0.055555555556070786
103,0.055555555555957196
104,0.055555555555868635
105,0.05555555555579962
106,0.05555555555574581
107,0.05555555555570386
108,0.05555555555567117
109,0.05555555555564567
110,0.055555555555625795
111,0.05555555555561033
112,0.05555555555559825
113,0.055555555555588824
114,0.0555555555555815
115,0.05555555555557577
116,0.05555555555557131
117,0.05555555555556784
118,0.05555555555556513
119,0.05555555555556303
120,0.05555555555556137
121,0.055555555555560084
122,0.055555555555559084
123,0.05555555555555831
124,0.055555555555557704
125,0.05555555555555723
126,0.05555555555555685
127,0.055555555555556566
128,0.05555555555555636
129,0.05555555555555617
130,0.05555555555555604
131,0.05555555555555593
132,0.05555555555555584
133,0.05555555555555577
134,0.055555555555555726
135,0.05555555555555569
136,0.05555555555555566
137,0.05555555555555563
138,0.055555555555555615
139,0.055555555555555594
140,0.055555555555555594
141,0.055555555555555594
142,0.055555555555555566
143,0.055555555555555566
144,0.055555555555555566
145,0.055555555555555566
146,0.055555555555555566
147,0.055555555555555566
148,0.055555555555555566
149,0.055555555555555566
150,0.055555555555555566
151,0.055555555555555566
152,0.055555555555555566
153,0.055555555555555566
154,0.055555555555555566
155,0.055555555555555566
156,0.055555555555555566
157,0.055555555555555566
158,0.055555555555555566
159,0.055555555555555566
160,0.055555555555555566
161,0.055555555555555566
162,0.055555555555555566
163,0.055555555555555566
164,0.055555555555555566
165,0.055555555555555566
166,0.055555555555555566
167,0.055555555555555566
168,0.055555555555555566
169,0.055555555555555566
170,0.055555555555555566
171,0.055555555555555566
172,0.055555555555555566
173,0.055555555555555566
174,0.055555555555555566
175,0.055555555555555566
176,0.055555555555555566
177,0.055555555555555566
178,0.055555555555555566
179,0.055555555555555566
180,0.055555555555555566
181,0.055555555555555566
182,0.055555555555555566
183,0.055555555555555566
184,0.055555555555555566
185,0.055555555555555566
186,0.055555555555555566
187,0.055555555555555566
188,0.055555555555555566
189,0.055555555555555566
190,0.055555555555555566
191,0.055555555555555566
192,0.055555555555555566
193,0.055555555555555566
194,0.055555555555555566
195,0.055555555555555566
196,0.055555555555555566
197,0.055555555555555566
198,0.055555555555555566
199,0.055555555555555566
200,0.055555555555555566
201,0.055555555555555566
202,0.055555555555555566
203,0.055555555555555566
204,0.055555555555555566
205,0.055555555555555566
206,0.055555555555555566
207,0.055555555555555566
208,0.055555555555555566
209,0.055555555555555566
210,0.055555555555555566
211,0.055555555555555566
