depth,width
1,600
2,506
3,618
4,764
5,1031
6,1247
7,1409
8,1496
9,1519
10,1402
11,1192
12,984
13,765
14,577
15,448
16,315
17,230
18,167
19,128
20,80
21,61
22,37
23,22
24,19
25,8
26,8
27,3
28,5
29,4
30,1
31,2
32,2
33,2
