t,P
1,0.5
2,0.2716527932739628
3,0.16156512578987842
4,0.10562321395449027
5,0.07564324156266126
6,0.05868785643181946
7,0.048578146621114676
8,0.04224524812071741
9,0.038101533721587054
10,0.03528934592762566
11,0.03332388132589019
12,0.03191825738203114
13,0.030895065232557077
14,0.030140090977828667
15,0.02957718538890096
16,0.02915406994652744
17,0.028833990637309077
18,0.028590613128355296
19,0.028404783415151878
20,0.028262403398061988
21,0.028152997482025148
22,0.028068722078574835
23,0.028003667570619672
24,0.027953358426033
25,0.02791439049970366
26,0.027884165043838432
27,0.027860691912856277
28,0.027842442889679568
29,0.02782824169056301
30,0.027817181041666385
31,0.027808559881748723
32,0.02780183561993644
33,0.02779658771522101
34,0.027792489809499093
35,0.02778928834892047
36,0.02778678614445717
37,0.027784829704271135
38,0.027783299454421477
39,0.02778210217687364
40,0.027781165153443713
41,0.027780431624844257
42,0.027779857265335686
43,0.027779407442939195
44,0.0277790550881398
45,0.02777877903452404
46,0.02777856272586226
47,0.027778393208019052
48,0.027778260342458325
49,0.027778156192291834
50,0.027778074542778017
51,0.02777801052665895
52,0.027777960331294857
53,0.02777792096965394
54,0.02777789010117562
55,0.027777865891604216
56,0.02777784690328556
57,0.027777832009285026
58,0.027777820326139527
59,0.027777811161189794
60,0.027777803971324566
61,0.027777798330658274
62,0.027777793905204226
63,0.02777779043302671
64,0.027777787708684443
65,0.02777778557103648
66,0.027777783893682788
67,0.027777782577469292
68,0.027777781544611344
69,0.027777780734085617
70,0.027777780098016278
71,0.02777777959884102
72,0.027777779207088182
73,0.027777778899633326
74,0.02777777865833166
75,0.027777778468945316
76,0.02777777832030172
77,0.027777778203633505
78,0.02777777811206049
79,0.027777778040183325
80,0.02777777798376471
81,0.027777777939479158
82,0.02777777790471679
83,0.027777777877429237
84,0.027777777856008865
85,0.027777777839193843
86,0.027777777825993825
87,0.02777777781563144
88,0.027777777807496566
89,0.02777777780111026
90,0.027777777796096595
91,0.027777777792160483
92,0.02777777778907028
93,0.02777777778664416
94,0.02777777778473938
95,0.02777777778324388
96,0.027777777782069715
97,0.027777777781147817
98,0.027777777780423975
99,0.027777777779855635
100,0.027777777779409388
101,0.027777777779058994
102,0.027777777778783874
103,0.027777777778567832
104,0.027777777778398183
105,0.02777777777826498
106,0.027777777778160373
107,0.027777777778078234
108,0.027777777778013737
109,0.02777777777796308
110,0.027777777777923302
111,0.027777777777892074
112,0.027777777777867538
113,0.027777777777848265
114,0.02777777777783314
115,0.027777777777821262
116,0.02777777777781193
117,0.02777777777780461
118,0.027777777777798846
119,0.027777777777794325
120,0.027777777777790773
121,0.027777777777787987
122,0.02777777777778579
123,0.027777777777784077
124,0.02777777777778273
125,0.027777777777781662
126,0.027777777777780836
127,0.027777777777780194
128,0.027777777777779677
129,0.02777777777777929
130,0.02777777777777898
131,0.027777777777778734
132,0.02777777777777855
133,0.0277777777777784
134,0.027777777777778283
135,0.027777777777778186
136,0.02777777777777813
137,0.027777777777778068
138,0.027777777777778026
139,0.027777777777777988
140,0.027777777777777957
141,0.027777777777777932
142,0.02777777777777792
143,0.027777777777777908
144,0.027777777777777894
145,0.027777777777777887
146,0.027777777777777877
147,0.02777777777777787
148,0.027777777777777863
149,0.027777777777777863
150,0.027777777777777863
151,0.02777777777777786
152,0.02777777777777786
153,0.027777777777777853
154,0.027777777777777853
155,0.027777777777777853
156,0.027777777777777853
157,0.027777777777777853
158,0.027777777777777853
159,0.027777777777777853
160,0.027777777777777853
161,0.027777777777777853
162,0.027777777777777853
163,0.027777777777777853
164,0.027777777777777853
165,0.027777777777777853
166,0.027777777777777853
167,0.027777777777777853
168,0.027777777777777853
169,0.027777777777777853
170,0.027777777777777853
171,0.027777777777777853
172,0.027777777777777853
173,0.027777777777777853
174,0.027777777777777853
175,0.027777777777777853
176,0.027777777777777853
177,0.027777777777777853
178,0.027777777777777853
179,0.027777777777777853
180,0.027777777777777853
181,0.027777777777777853
182,0.027777777777777853
183,0.027777777777777853
184,0.027777777777777853
185,0.027777777777777853
186,0.027777777777777853
187,0.027777777777777853
188,0.027777777777777853
189,0.027777777777777853
190,0.027777777777777853
191,0.027777777777777853
192,0.027777777777777853
193,0.027777777777777853
194,0.027777777777777853
195,0.027777777777777853
196,0.027777777777777853
197,0.027777777777777853
198,0.027777777777777853
199,0.027777777777777853
200,0.027777777777777853
201,0.027777777777777853
202,0.027777777777777853
203,0.027777777777777853
204,0.027777777777777853
205,0.027777777777777853
206,0.027777777777777853
207,0.027777777777777853
208,0.027777777777777853
209,0.027777777777777853
210,0.027777777777777853
211,0.027777777777777853
212,0.027777777777777853
213,0.027777777777777853
214,0.027777777777777853
215,0.027777777777777853
216,0.027777777777777853
217,0.027777777777777853
218,0.027777777777777853
219,0.027777777777777853
220,0.027777777777777853
221,0.027777777777777853
222,0.027777777777777853
223,0.027777777777777853
224,0.027777777777777853
225,0.027777777777777853
226,0.027777777777777853
227,0.027777777777777853
228,0.027777777777777853
229,0.027777777777777853
230,0.027777777777777853
231,0.027777777777777853
232,0.027777777777777853
233,0.027777777777777853
234,0.027777777777777853
235,0.027777777777777853
236,0.027777777777777853
237,0.027777777777777853
238,0.027777777777777853
239,0.027777777777777853
240,0.027777777777777853
241,0.027777777777777853
242,0.027777777777777853
243,0.027777777777777853
244,0.027777777777777853
245,0.027777777777777853
246,0.027777777777777853
247,0.027777777777777853
248,0.027777777777777853
249,0.027777777777777853
250,0.027777777777777853
251,0.027777777777777853
252,0.027777777777777853
253,0.027777777777777853
254,0.027777777777777853
255,0.027777777777777853
256,0.027777777777777853
