depth,width
1,600
2,655
3,899
4,1283
5,1740
6,1855
7,1988
8,2109
9,2150
10,2086
11,1946
12,1677
13,1305
14,1048
15,803
16,617
17,472
18,350
19,230
20,135
21,78
22,47
23,29
24,29
25,20
26,13
27,8
28,11
29,6
30,7
31,4
32,3
33,2
34,2
35,1
36,1
