r,N
0,1.0
1,219.36923076923077
2,1924.7076923076922
3,4009.1692307692306
4,6336.0
5,8794.984615384616
6,11338.446153846155
7,13838.384615384615
8,15778.523076923077
9,16106.63076923077
10,16107.0
