r,d
2.0,2.644775649288746
3.0,1.7189329768200377
4.0,1.537897761798839
5.0,1.4352692729686305
6.0,1.3471084581748873
7.0,1.148665428339753
8.0,0.6039637772765043
9.0,0.09233627218005595
