depth,width
1,600
2,713
3,1008
4,1455
5,1785
6,2002
7,2272
8,2595
9,2738
10,2828
11,2817
12,2899
13,2770
14,2555
15,2160
16,1868
17,1653
18,1500
19,1338
20,1185
21,1012
22,894
23,763
24,596
25,465
26,334
27,250
28,192
29,149
30,120
31,96
32,94
33,87
34,72
35,65
36,53
37,49
38,44
39,40
40,35
41,38
42,37
43,36
44,28
45,34
46,36
47,39
48,34
49,35
50,36
51,33
52,32
53,28
54,28
55,20
56,18
57,20
58,17
59,22
60,16
61,22
62,27
63,34
64,39
65,40
66,52
67,62
68,77
69,83
70,86
71,86
72,94
73,87
74,89
75,100
76,112
77,104
78,85
79,78
80,76
81,65
82,63
83,50
84,44
85,42
86,37
87,34
88,33
89,33
90,28
91,29
92,27
93,32
94,34
95,40
96,33
97,33
98,30
99,27
100,31
101,26
102,27
103,21
104,22
105,19
106,14
107,14
108,14
109,9
110,10
111,10
112,8
113,5
114,5
115,4
116,4
117,5
118,5
119,7
120,5
121,6
122,7
123,6
124,6
125,7
126,7
127,5
128,6
129,8
130,8
131,10
132,11
133,7
134,10
135,11
136,14
137,12
138,10
139,9
140,12
141,12
142,10
143,14
144,13
145,16
146,16
147,17
148,14
149,15
150,15
151,12
152,9
153,11
154,13
155,17
156,15
157,20
158,21
159,23
160,26
161,27
162,30
163,27
164,37
165,34
166,29
167,35
168,35
169,37
170,46
171,42
172,43
173,43
174,50
175,42
176,46
177,44
178,38
179,33
180,30
181,35
182,30
183,27
184,27
185,26
186,23
187,20
188,21
189,22
190,18
191,21
192,24
193,18
194,22
195,23
196,20
197,17
198,18
199,16
200,17
201,26
202,29
203,26
204,20
205,23
206,25
207,19
208,26
209,27
210,32
211,32
212,34
213,36
214,41
215,38
216,39
217,35
218,32
219,24
220,26
221,33
222,31
223,30
224,29
225,34
226,32
227,34
228,38
229,29
230,34
231,31
232,29
233,27
234,33
235,26
236,25
237,25
238,21
239,18
240,20
241,20
242,20
243,23
244,16
245,11
246,8
247,4
248,6
249,6
250,4
251,7
252,3
253,4
254,5
255,1
256,3
257,4
258,3
259,2
260,3
261,3
262,2
263,1
264,2
265,2
266,3
267,2
268,1
269,3
270,4
271,3
272,3
273,5
274,4
275,5
276,3
277,2
278,2
279,4
280,5
281,5
282,7
283,5
284,7
285,7
286,9
287,9
288,7
289,7
290,9
291,13
292,16
293,16
294,21
295,19
296,15
297,16
298,17
299,18
300,16
301,12
302,12
303,13
304,14
305,13
306,11
307,10
308,14
309,18
310,13
311,13
312,14
313,16
314,22
315,19
316,19
317,17
318,17
319,18
320,13
321,7
322,7
323,8
324,8
325,8
326,7
327,8
328,10
329,13
330,13
331,16
332,16
333,18
334,17
335,24
336,25
337,22
338,23
339,26
340,23
341,27
342,19
343,17
344,24
345,24
346,37
347,37
348,38
349,38
350,31
351,41
352,42
353,51
354,35
355,36
356,39
357,33
358,29
359,30
360,33
361,34
362,39
363,38
364,32
365,39
366,40
367,38
368,38
369,35
370,39
371,35
372,33
373,30
374,31
375,39
376,38
377,43
378,45
379,47
380,55
381,47
382,50
383,51
384,51
385,60
386,68
387,67
388,86
389,82
390,82
391,91
392,84
393,85
394,89
395,88
396,91
397,93
398,103
399,96
400,112
401,111
402,113
403,111
404,110
405,92
406,82
407,69
408,52
409,51
410,49
411,43
412,38
413,37
414,45
415,41
416,37
417,43
418,45
419,37
420,46
421,45
422,45
423,45
424,42
425,50
426,52
427,55
428,58
429,59
430,72
431,74
432,68
433,65
434,64
435,60
436,62
437,54
438,60
439,61
440,57
441,44
442,38
443,36
444,33
445,29
446,30
447,33
448,41
449,36
450,41
451,40
452,47
453,46
454,50
455,47
456,43
457,51
458,63
459,73
460,88
461,80
462,97
463,103
464,104
465,109
466,98
467,110
468,108
469,102
470,96
471,105
472,104
473,82
474,78
475,60
476,59
477,49
478,42
479,45
480,46
481,49
482,46
483,47
484,44
485,37
486,29
487,38
488,37
489,38
490,41
491,45
492,39
493,31
494,33
495,36
496,30
497,33
498,24
499,28
500,37
501,33
502,32
503,33
504,29
505,31
506,37
507,39
508,49
509,44
510,54
511,57
512,58
513,60
514,62
515,74
516,88
517,87
518,87
519,98
520,105
521,107
522,100
523,112
524,117
525,144
526,148
527,160
528,181
529,185
530,205
531,229
532,217
533,230
534,236
535,227
536,229
537,210
538,228
539,205
540,198
541,191
542,178
543,164
544,145
545,138
546,143
547,146
548,148
549,149
550,151
551,139
552,150
553,161
554,168
555,170
556,175
557,162
558,166
559,146
560,129
561,122
562,112
563,105
564,98
565,90
566,89
567,88
568,78
569,77
570,65
571,65
572,68
573,58
574,51
575,49
576,43
577,38
578,43
579,38
580,49
581,44
582,39
583,54
584,55
585,59
586,58
587,48
588,42
589,45
590,50
591,50
592,45
593,47
594,39
595,46
596,39
597,38
598,31
599,39
600,31
601,31
602,25
603,23
604,27
605,33
606,28
607,25
608,26
609,25
610,29
611,32
612,27
613,27
614,36
615,29
616,36
617,35
618,41
619,47
620,49
621,56
622,56
623,55
624,57
625,66
626,63
627,63
628,57
629,66
630,66
631,70
632,67
633,65
634,64
635,56
636,51
637,48
638,40
639,35
640,35
641,28
642,18
643,18
644,14
645,14
646,12
647,9
648,12
649,13
650,11
651,13
652,16
653,10
654,9
655,10
656,12
657,13
658,12
659,14
660,18
661,20
662,26
663,24
664,21
665,27
666,26
667,23
668,23
669,27
670,25
671,31
672,29
673,23
674,23
675,30
676,27
677,21
678,28
679,32
680,29
681,30
682,33
683,34
684,33
685,34
686,28
687,27
688,29
689,26
690,25
691,23
692,22
693,19
694,12
695,12
696,10
697,11
698,13
699,12
700,12
701,19
702,19
703,22
704,16
705,19
706,22
707,19
708,23
709,22
710,23
711,20
712,22
713,20
714,28
715,27
716,29
717,28
718,34
719,32
720,34
721,43
722,47
723,46
724,49
725,43
726,56
727,64
728,72
729,77
730,82
731,75
732,83
733,86
734,76
735,73
736,68
737,66
738,76
739,62
740,59
741,55
742,48
743,58
744,49
745,50
746,57
747,52
748,60
749,60
750,69
751,74
752,74
753,72
754,87
755,89
756,104
757,96
758,101
759,109
760,120
761,118
762,119
763,119
764,119
765,113
766,101
767,111
768,116
769,108
770,114
771,101
772,94
773,91
774,88
775,90
776,97
777,87
778,89
779,82
780,80
781,79
782,85
783,73
784,77
785,88
786,73
787,72
788,77
789,72
790,69
791,61
792,66
793,65
794,60
795,55
796,53
797,51
798,51
799,52
800,51
801,54
802,45
803,44
804,41
805,42
806,44
807,43
808,43
809,48
810,56
811,51
812,59
813,53
814,50
815,50
816,41
817,47
818,53
819,50
820,52
821,63
822,68
823,70
824,65
825,70
826,72
827,68
828,61
829,65
830,58
831,55
832,47
833,45
834,46
835,39
836,28
837,25
838,26
839,19
840,17
841,19
842,22
843,18
844,17
845,17
846,16
847,22
848,25
849,24
850,24
851,29
852,27
853,18
854,11
855,3
