h,volume
2,2.999999999999995
3,4.000000000000006
4,5.027723850555436
5,5.999999999999998
6,7.066012597654692
7,8.23504061198507
8,8.999999999999998
9,10.000000000000007
10,11.000000000000002
11,12.0
