depth,width
1,600
2,240
3,155
4,144
5,139
6,154
7,147
8,147
9,140
10,118
11,121
12,120
13,130
14,127
15,115
16,104
17,98
18,65
19,50
20,46
21,42
22,33
23,23
24,25
25,12
26,7
27,2
