run_id,label,status,fate,seed,m,s,f,k,p,W,pred,osc,comp,ctrl,ticks,events,flight,front,height,max_width,d_front,d_span,d_s,D_causal,transient,hold,c1_target,c1b_decade,c2_stat,c3_spec,c4_caus
camp-filament-m_48-25667a476b,camp-filament-m_48,stalled,gel,vee,48,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,4120,4,6,4,2,2,,0.0,,,,,False,False,False,False,False
camp-filament-m_64-2ffcf5b150,camp-filament-m_64,stalled,gel,vee,64,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
camp-filament-osc_rule_rot1_xor-6d7a13657f,camp-filament-osc_rule_rot1_xor,stalled,gel,vee,32,14,2,2,3,16,hamming,rot1_xor,fold_rot_xor,,12182,7729,3,2,5068,3,,,,1.0171751499858004,,,False,False,False,False,False
camp-filament-osc_rule_rot_birth-fda64fa700,camp-filament-osc_rule_rot_birth,stalled,gel,vee,32,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,11021,9260,3,2,5174,3,,,,0.9904275809229885,,,False,False,False,False,False
camp-filament-p_1-88113bfe92,camp-filament-p_1,stalled,gel,vee,32,14,2,2,1,16,hamming,rot_birth,fold_rot_xor,,4612,258,3,2,239,2,,,,0.9344030340715113,,,False,False,False,False,False
camp-filament-p_2-a2541a6644,camp-filament-p_2,stalled,gel,vee,32,14,2,2,2,16,hamming,rot_birth,fold_rot_xor,,5349,702,3,2,642,3,,,,0.9495645104522964,,,False,False,False,False,False
camp-filament-p_3-fda64fa700,camp-filament-p_3,stalled,gel,vee,32,14,2,2,3,16,hamming,rot_birth,fold_rot_xor,,11021,9260,3,2,5174,3,,,,0.9904275809229885,,,False,False,False,False,False
camp-filament-p_4-c9e2bb247f,camp-filament-p_4,completed,soutenu,vee,32,14,2,2,4,16,hamming,rot_birth,fold_rot_xor,,20000,36968,6,3,17306,3,,,,1.0442882558127708,,,False,False,False,False,False
camp-filament-p_5-5e9dd0c4ed,camp-filament-p_5,completed,soutenu,vee,32,14,2,2,5,16,hamming,rot_birth,fold_rot_xor,,20000,36968,6,3,17306,3,,,,1.0442882558127708,,,False,False,False,False,False
camp-filament-predicate_block_zero-f0b251b295,camp-filament-predicate_block_zero,stalled,gel,vee,32,14,2,2,3,16,block_zero,rot_birth,fold_rot_xor,,4097,3,6,3,1,2,,,,,,,False,False,False,False,False
