h,volume
2,2.999999999999995
3,4.000000000000005
4,5.000000000000008
5,5.999999999999998
6,7.000000000000003
7,8.20705856509948
8,8.999999999999998
9,10.000000000000002
10,11.000000000000002
11,12.0
12,13.0
13,13.999999999999996
