depth,width
1,600
2,713
3,1008
4,1455
5,1785
6,2002
7,2272
8,2595
9,2738
10,2828
11,2817
12,2899
13,2770
14,2555
15,2160
16,1868
17,1653
18,1500
19,1338
20,1185
21,1012
22,894
23,763
24,596
25,465
26,334
27,250
28,192
29,149
30,120
31,96
32,94
33,87
34,72
35,65
36,53
37,49
38,44
39,40
40,35
41,38
42,37
43,36
44,28
45,34
46,36
47,39
48,34
49,35
50,36
51,33
52,32
53,28
54,28
55,20
56,18
57,20
58,17
59,22
60,16
61,22
62,27
63,34
64,39
65,40
66,52
67,62
68,77
69,83
70,86
71,86
72,94
73,87
74,89
75,100
76,112
77,104
78,85
79,78
80,76
81,65
82,63
83,50
84,44
85,42
86,37
87,34
88,33
89,33
90,28
91,29
92,27
93,32
94,34
95,40
96,33
97,33
98,30
99,27
100,31
101,26
102,27
103,21
104,22
105,19
106,14
107,14
108,14
109,9
110,10
111,10
112,8
113,5
114,5
115,4
116,4
117,5
118,5
119,7
120,5
121,6
122,7
123,6
124,6
125,7
126,7
127,5
128,6
129,8
130,8
131,10
132,11
133,7
134,10
135,11
136,14
137,12
138,10
139,9
140,12
141,12
142,10
143,14
144,13
145,16
146,16
147,17
148,14
149,15
150,15
151,12
152,9
153,11
154,13
155,17
156,15
157,20
158,21
159,23
160,26
161,27
162,30
163,27
164,37
165,34
166,29
167,35
168,35
169,37
170,46
171,42
172,43
173,43
174,50
175,42
176,46
177,44
178,38
179,33
180,30
181,35
182,30
183,27
184,27
185,26
186,23
187,20
188,21
189,22
190,18
191,21
192,24
193,18
194,22
195,23
196,20
197,17
198,18
199,16
200,17
201,26
202,29
203,26
204,20
205,23
206,25
207,19
208,26
209,27
210,32
211,32
212,34
213,36
214,41
215,38
216,39
217,35
218,32
219,24
220,26
221,33
222,31
223,30
224,29
225,34
226,32
227,34
228,38
229,29
230,34
231,31
232,29
233,27
234,33
235,26
236,25
237,25
238,21
239,18
240,20
241,20
242,20
243,23
244,16
245,11
246,8
247,4
248,6
249,6
250,4
251,7
252,3
253,4
254,5
255,1
256,3
257,4
258,3
259,2
260,3
261,3
262,2
263,1
264,2
265,2
266,3
267,2
268,1
269,3
270,2
